Image,Mean_Red,Mean_Green,Mean_Blue,Texture_Std,Laplacian_Variance
001.jpg,117,119,120,65,4805
002.jpg,83,95,118,71,9058
003.jpg,73,94,116,49,3218
004.jpg,56,78,96,44,3645
005.jpg,98,93,97,82,5264
006.jpg,113,117,122,89,6838
007.jpg,97,96,111,60,4545
008.jpg,112,111,118,50,3513
009.jpg,140,140,144,72,7261
010.jpg,97,94,106,57,15243
011.jpg,140,134,140,73,4152
012.jpg,77,91,101,46,856
013.jpg,115,119,133,61,7540
014.jpg,118,118,122,59,8371
015.jpg,103,109,115,53,4909
016.jpg,204,197,205,71,3731
017.jpg,110,121,131,50,2136
018.jpg,59,76,120,60,4802
019.jpg,81,110,100,64,16470
020.jpg,76,92,112,92,6188
021.jpg,138,109,101,51,1405
022.jpg,113,107,105,59,6997
023.jpg,110,108,108,53,6107
024.jpg,75,91,112,66,5645
025.jpg,143,147,154,76,4262
026.jpg,103,92,92,55,3281
027.jpg,95,99,102,47,8550
028.jpg,105,100,99,50,2693
029.jpg,152,149,147,66,5260
030.jpg,113,115,130,69,8881
031.jpg,83,101,111,55,2509
032.jpg,121,124,130,82,5510
033.jpg,162,153,149,85,11364
034.jpg,65,83,98,55,4110
035.jpg,115,125,135,71,11331
036.jpg,106,112,115,44,2873
037.jpg,115,103,101,60,7100
038.jpg,114,129,157,65,19866
039.jpg,82,82,82,61,7512
040.jpg,90,104,106,53,7036
041.jpg,70,93,94,44,2862
042.jpg,106,107,110,59,15957
043.jpg,48,61,74,60,7923
044.jpg,66,64,61,62,5082
045.jpg,85,107,124,54,5015
046.jpg,101,103,121,77,3792
047.jpg,96,103,131,87,3497
048.jpg,109,102,102,49,4511
049.jpg,78,111,138,65,7121
050.jpg,52,79,94,62,5554
051.jpg,129,141,148,74,7561
052.jpg,106,127,140,64,6503
053.jpg,80,73,69,49,5678
054.jpg,66,67,99,62,8756
055.jpg,100,96,84,38,4291
056.jpg,97,104,104,67,3964
057.jpg,111,115,113,51,2665
058.jpg,82,81,92,52,3652
059.jpg,104,107,115,45,3798
060.jpg,130,119,109,60,4907
